"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1905" "37.9" "87.7" "33.5" "32.0" "34.7" "16.8" "13.7" "56.3" "84.5" "38.9" "55.4" "45.4" "536.8" "NA" "100.3" "86.7" "178.9" NA
"1906" "59.8" "31.6" "120.9" "47.5" "67.0" "56.6" "5.1" "34.2" "126.3" "136.3" "51.5" "37.9" "774.9" "136.8" "235.5" "95.9" "314.2" NA
"1907" "37.8" "63.5" "58.7" "57.7" "54.3" "101.2" "133.4" "124.2" "76.0" "77.9" "17.4" "80.3" "882.7" "139.3" "170.8" "358.8" "171.3" NA
"1908" "48.5" "80.9" "54.4" "57.5" "95.3" "88.7" "24.0" "44.0" "14.1" "41.5" "29.9" "48.3" "627.2" "209.8" "207.3" "156.6" "85.5" NA
"1909" "39.0" "138.9" "85.7" "6.1" "63.5" "102.5" "163.5" "75.4" "29.8" "35.0" "72.7" "31.7" "843.8" "226.3" "155.3" "341.4" "137.5" NA
"1910" "50.8" "84.7" "61.0" "30.5" "26.7" "140.1" "133.1" "35.2" "41.1" "107.0" "46.0" "63.4" "819.5" "167.1" "118.2" "308.4" "194.1" NA
"1911" "90.5" "27.1" "14.9" "34.6" "30.7" "114.5" "66.5" "36.2" "4.9" "16.6" "34.8" "75.6" "546.9" "181.0" "80.2" "217.2" "56.3" NA
"1912" "30.2" "23.9" "NA" "58.8" "121.0" "77.9" "87.8" "35.2" "16.7" "72.2" "22.9" "62.0" "NA" "129.7" "NA" "200.9" "111.8" NA
"1913" "73.0" "51.3" "73.4" "44.4" "26.7" "43.4" "65.2" "NA" "22.1" "79.5" "45.0" "66.4" "NA" "186.3" "144.4" "NA" "146.6" NA
"1914" "21.1" "30.2" "30.1" "9.0" "96.9" "66.3" "78.4" "48.7" "33.5" "56.5" "96.5" "49.6" "617.0" "117.7" "136.1" "193.4" "186.5" NA
"1915" "26.0" "48.3" "72.3" "29.7" "102.6" "50.5" "178.6" "141.2" "93.5" "63.0" "62.7" "79.0" "947.6" "124.0" "204.7" "370.2" "219.3" NA
"1916" "54.3" "53.2" "12.1" "12.0" "24.6" "51.0" "19.1" "66.7" "51.4" "43.3" "65.2" "75.6" "528.5" "186.5" "48.7" "136.8" "159.9" NA
"1917" "48.4" "45.5" "35.4" "53.3" "82.8" "27.9" "13.7" "70.5" "55.3" "NA" "48.4" "15.0" "NA" "169.4" "171.5" "112.1" "NA" NA
"1918" "42.3" "53.1" "35.1" "24.2" "109.8" "103.7" "118.2" "50.8" "100.1" "37.7" "22.5" "73.5" "771.0" "110.3" "169.2" "272.7" "160.3" NA
"1919" "45.2" "51.3" "89.8" "54.1" "30.1" "48.6" "83.0" "29.4" "79.7" "67.5" "63.4" "26.3" "668.5" "170.0" "174.1" "161.0" "210.6" NA
"1920" "18.2" "105.7" "69.5" "47.8" "2.8" "10.8" "154.3" "124.9" "35.0" "29.6" "33.7" "33.2" "665.5" "150.2" "120.1" "290.0" "98.3" NA
"1921" "57.5" "3.0" "NA" "NA" "46.2" "51.5" "54.8" "67.2" "46.0" "81.8" "27.5" "42.1" "NA" "93.7" "NA" "173.5" "155.3" NA
"1922" "57.2" "21.2" "27.3" "11.4" "31.4" "160.8" "35.3" "46.4" "13.6" "96.5" "38.5" "NA" "NA" "120.6" "70.1" "242.4" "148.6" NA
"1923" "NA" "NA" "84.4" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1924" "NA" "15.1" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "60.3" "NA" "NA" "NA" "NA" "NA" NA
"1925" "84.5" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1926" "33.2" "69.2" "75.4" "57.4" "66.0" "NA" "NA" "NA" "NA" "NA" "NA" "84.4" "NA" "NA" "198.9" "NA" "NA" NA
"1927" "114.8" "75.6" "NA" "NA" "NA" "NA" "53.3" "NA" "NA" "NA" "NA" "NA" "NA" "274.8" "NA" "NA" "NA" NA
"1928" "66.5" "45.2" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1929" "NA" "27.1" "108.8" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "121.2" "NA" "NA" "NA" "NA" "NA" NA
"1930" "NA" "84.7" "90.8" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "57.4" "NA" "NA" "NA" "NA" "NA" NA
"1931" "120.9" "NA" "48.2" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1932" "NA" "48.2" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "71.2" "NA" "NA" "NA" "NA" "NA" NA
"1933" "100.0" "NA" "108.8" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "131.5" "NA" "NA" "NA" "NA" "NA" NA
"1934" "74.2" "107.5" "87.6" "NA" "73.9" "141.2" "75.7" "86.3" "43.2" "91.0" "78.5" "82.8" "NA" "313.1" "NA" "303.3" "212.6" NA
"1935" "139.3" "54.4" "104.5" "54.3" "27.1" "72.9" "49.9" "34.2" "64.9" "105.5" "61.4" "102.9" "871.4" "276.5" "185.9" "157.0" "231.8" NA
