"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1957" "NA" "NA" "NA" "NA" "NA" "1.4" "6.1" "NA" "4.6" "6.7" "9.6" "6.2" "NA" "NA" "NA" "NA" "20.9" NA
"1958" "1.3" "NA" "NA" "NA" "NA" "NA" "NA" "30.2" "21.4" "17.8" "9.1" "NA" "NA" "NA" "NA" "NA" "48.2" NA
"1959" "1.2" "NA" "NA" "NA" "1.1" "0.5" "22.6" "13.4" "6.6" "12.0" "NA" "NA" "NA" "NA" "NA" "36.5" "NA" NA
"1960" "NA" "NA" "NA" "10.7" "1.8" "8.3" "18.1" "71.6" "48.2" "NA" "6.7" "0.1" "NA" "NA" "NA" "97.9" "NA" NA
"1961" "5.2" "13.1" "0.1" "4.7" "5.9" "12.2" "21.6" "60.3" "10.2" "17.8" "3.0" "3.8" "157.8" "18.4" "10.7" "94.1" "31.0" NA
"1962" "3.4" "1.0" "9.1" "0.7" "0.4" "8.5" "11.3" "28.5" "17.5" "11.7" "1.2" "2.2" "95.5" "8.3" "10.2" "48.3" "30.3" NA
"1963" "2.2" "2.1" "3.6" "1.1" "2.8" "20.8" "82.5" "38.0" "24.5" "32.5" "21.9" "14.3" "246.2" "6.4" "7.4" "141.4" "78.8" NA
"1964" "5.6" "5.9" "2.0" "11.4" "11.0" "10.9" "39.1" "29.5" "24.8" "15.5" "16.0" "4.9" "176.5" "25.8" "24.3" "79.6" "56.3" NA
"1965" "6.7" "0.4" "3.3" "8.7" "5.9" "10.1" "25.1" "60.9" "20.8" "11.2" "11.0" "8.0" "172.0" "12.1" "17.9" "96.0" "42.9" NA
"1966" "0.6" "10.7" "13.8" "3.8" "16.3" "11.0" "37.3" "53.4" "64.4" "3.9" "1.6" "2.4" "219.4" "19.4" "34.0" "101.7" "69.9" NA
"1967" "3.7" "1.9" "0.6" "2.1" "17.6" "42.5" "43.0" "10.6" "26.2" "14.2" "10.6" "3.0" "176.1" "8.0" "20.3" "96.1" "51.1" NA
"1968" "1.8" "4.5" "3.9" "1.9" "6.3" "4.9" "15.3" "31.6" "9.2" "42.5" "19.2" "2.8" "143.9" "9.3" "12.2" "51.8" "70.9" NA
"1969" "3.5" "3.3" "0.8" "6.0" "7.8" "11.2" "88.1" "38.7" "9.9" "6.0" "12.3" "4.9" "192.7" "9.6" "14.6" "138.0" "28.3" NA
"1970" "0.9" "0.4" "2.7" "6.3" "4.5" "35.5" "10.8" "37.7" "44.6" "10.1" "13.6" "5.3" "172.5" "6.3" "13.5" "84.0" "68.3" NA
"1971" "4.1" "0.0" "1.9" "NA" "NA" "33.5" "49.6" "22.4" "30.6" "9.4" "8.9" "5.0" "NA" "9.4" "NA" "105.5" "49.0" NA
