"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1904" "7.4" "4.6" "3.6" "28.4" "18.3" "20.2" "100.3" "67.1" "98.4" "15.9" "69.8" "34.0" "468.1" "NA" "50.3" "187.6" "184.1" NA
"1905" "18.5" "19.9" "46.4" "21.7" "65.4" "47.2" "62.1" "48.9" "22.8" "35.3" "52.6" "5.6" "446.4" "72.5" "133.5" "158.1" "110.8" NA
"1906" "19.9" "8.1" "14.6" "12.4" "9.4" "20.9" "68.0" "22.6" "14.6" "14.7" "52.6" "22.3" "280.1" "33.6" "36.4" "111.4" "81.9" NA
"1907" "31.2" "6.6" "30.7" "6.6" "25.7" "50.8" "41.4" "NA" "NA" "NA" "NA" "NA" "NA" "60.1" "63.0" "NA" "NA" NA
"1908" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "15.9" "3.5" "5.1" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1909" "NA" "NA" "NA" "NA" "36.4" "19.7" "11.2" "127.7" "71.8" "5.2" "NA" "NA" "NA" "NA" "NA" "158.6" "NA" NA
"1910" "7.2" "3.8" "NA" "NA" "NA" "64.7" "151.6" "98.9" "66.7" "29.3" "4.3" "25.0" "NA" "NA" "NA" "315.2" "100.3" NA
"1911" "NA" "2.4" "12.1" "40.8" "25.8" "69.8" "32.9" "89.1" "24.4" "10.4" "26.6" "12.9" "NA" "NA" "78.7" "191.8" "61.4" NA
"1912" "9.1" "10.1" "28.3" "14.1" "11.7" "16.9" "31.8" "61.6" "30.1" "15.4" "16.8" "26.2" "272.1" "32.2" "54.1" "110.2" "62.3" NA
"1913" "12.2" "14.3" "21.4" "7.4" "18.4" "9.5" "24.3" "35.9" "78.0" "19.1" "16.9" "11.6" "268.9" "52.7" "47.1" "69.7" "113.9" NA
"1914" "4.3" "18.6" "11.3" "17.0" "27.3" "14.7" "64.3" "81.3" "19.3" "35.8" "19.9" "15.7" "329.5" "34.5" "55.6" "160.3" "75.0" NA
"1915" "9.7" "1.0" "23.4" "18.4" "42.9" "49.7" "70.5" "37.4" "9.8" "27.2" "4.8" "3.7" "298.6" "26.4" "84.8" "157.6" "41.8" NA
"1916" "14.4" "45.5" "3.1" "9.8" "69.3" "27.0" "32.0" "75.3" "50.5" "73.4" "2.4" "4.3" "406.9" "63.6" "82.2" "134.3" "126.3" NA
"1917" "13.6" "27.8" "3.9" "11.7" "43.6" "10.9" "75.6" "57.7" "47.1" "41.9" "19.5" "1.6" "354.8" "45.6" "59.2" "144.1" "108.6" NA
"1918" "12.1" "0.8" "3.4" "9.9" "30.1" "24.2" "17.3" "25.3" "21.6" "25.1" "3.5" "0.9" "174.1" "14.4" "43.4" "66.7" "50.2" NA
"1919" "14.8" "NA" "NA" "17.0" "23.9" "34.4" "75.6" "13.4" "14.2" "23.9" "6.9" "7.6" "NA" "NA" "NA" "123.4" "45.0" NA
"1920" "0.5" "10.0" "1.0" "0.6" "9.5" "93.0" "64.3" "18.8" "19.9" "66.9" "13.0" "NA" "NA" "18.2" "11.1" "176.1" "99.7" NA
"1921" "3.4" "12.5" "16.0" "3.1" "27.7" "11.8" "47.5" "44.6" "46.7" "15.0" "8.9" "11.4" "248.7" "NA" "46.8" "103.9" "70.6" NA
"1922" "22.8" "4.0" "5.5" "34.7" "28.4" "55.3" "49.9" "85.1" "81.4" "30.5" "4.6" "2.8" "405.1" "38.3" "68.6" "190.3" "116.5" NA
"1923" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "5.7" "35.8" "13.0" "13.5" "11.6" "NA" "NA" "NA" "NA" "62.3" NA
