"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1941" "1.2" "19.9" "6.1" "4.3" "22.0" "23.3" "25.8" "45.6" "46.2" "14.7" "8.2" "5.4" "222.8" "NA" "32.4" "94.7" "69.1" NA
"1942" "8.5" "3.7" "5.2" "3.0" "11.4" "0.6" "25.5" "NA" "NA" "NA" "NA" "NA" "NA" "17.6" "19.6" "NA" "NA" NA
"1943" "12.3" "24.4" "42.7" "38.1" "27.2" "10.7" "24.0" "81.4" "25.5" "57.4" "28.7" "14.3" "386.6" "NA" "107.9" "116.0" "111.6" NA
"1944" "18.4" "9.4" "23.9" "20.7" "4.1" "11.2" "29.1" "39.9" "26.4" "37.8" "9.1" "12.2" "242.4" "42.1" "48.7" "80.3" "73.3" NA
"1945" "9.2" "13.4" "4.8" "0.8" "14.8" "5.7" "13.6" "41.2" "10.9" "19.4" "15.7" "4.2" "153.7" "34.9" "20.5" "60.4" "45.9" NA
"1946" "1.2" "2.7" "5.4" "3.9" "7.7" "4.0" "24.8" "26.9" "52.0" "25.5" "3.2" "3.5" "160.7" "8.1" "17.0" "55.7" "80.7" NA
"1947" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1948" "5.3" "32.1" "14.1" "17.3" "21.3" "14.0" "39.2" "NA" "21.9" "16.8" "12.6" "9.2" "NA" "NA" "52.8" "NA" "51.3" NA
"1949" "0.4" "0.2" "6.9" "3.5" "9.6" "6.7" "3.2" "NA" "1.3" "13.1" "9.4" "7.2" "NA" "9.9" "20.0" "NA" "23.8" NA
"1950" "7.0" "0.8" "3.7" "9.8" "NA" "4.7" "2.2" "5.9" "2.3" "5.1" "13.6" "1.5" "NA" "15.1" "NA" "12.8" "21.1" NA
"1951" "8.1" "7.0" "6.8" "NA" "NA" "NA" "NA" "8.1" "NA" "12.8" "1.9" "0.6" "NA" "16.5" "NA" "NA" "NA" NA
