DEBUG [2020-03-19 15:38:46] |check value------  | Minimum |
DEBUG [2020-03-19 15:38:46] |TEMP_VAL 1| min_temp |
DEBUG [2020-03-19 15:38:48] |MONTH 1| Jan |
DEBUG [2020-03-19 15:38:48] |YEAR_TO_START 1| 1980 |
DEBUG [2020-03-19 15:38:48] Rdata exists
DEBUG [2020-03-19 15:38:48] |TEMP_VAL | min_temp |
DEBUG [2020-03-19 15:38:48] |MONTH| Jan |
DEBUG [2020-03-19 15:38:48] |YEAR_TO_START| 1980 |
DEBUG [2020-03-19 15:39:11] |TEMP_VAL |  |
DEBUG [2020-03-19 15:39:11] |MONTH|  |
DEBUG [2020-03-19 15:39:11] |YEAR_TO_START|  |
DEBUG [2020-03-19 15:39:11] |check city df ------  | 0 |
DEBUG [2020-03-19 15:39:12] |check value------  | Minimum |
DEBUG [2020-03-19 15:39:12] |TEMP_VAL 1| min_temp |
DEBUG [2020-03-19 15:39:14] |MONTH 1| Jan |
DEBUG [2020-03-19 15:39:14] |YEAR_TO_START 1| 1980 |
DEBUG [2020-03-19 15:39:14] Rdata exists
DEBUG [2020-03-19 15:39:14] |TEMP_VAL | min_temp |
DEBUG [2020-03-19 15:39:14] |MONTH| Jan |
DEBUG [2020-03-19 15:39:14] |YEAR_TO_START| 1980 |
DEBUG [2020-03-19 15:40:28] |TEMP_VAL |  |
DEBUG [2020-03-19 15:40:28] |MONTH|  |
DEBUG [2020-03-19 15:40:28] |YEAR_TO_START|  |
DEBUG [2020-03-19 15:40:28] |check city df ------  | 0 |
DEBUG [2020-03-19 15:40:34] |check value------  | min_temp |
DEBUG [2020-03-19 15:40:34] |TEMP_VAL 1| min_temp |
DEBUG [2020-03-19 15:40:35] |MONTH 1| Jan |
DEBUG [2020-03-19 15:40:35] |YEAR_TO_START 1| 1980 |
DEBUG [2020-03-19 15:40:35] Rdata exists
DEBUG [2020-03-19 15:40:35] |TEMP_VAL | min_temp |
DEBUG [2020-03-19 15:40:35] |MONTH| Jan |
DEBUG [2020-03-19 15:40:35] |YEAR_TO_START| 1980 |
DEBUG [2020-03-19 15:45:14] |TEMP_VAL |  |
DEBUG [2020-03-19 15:45:14] |MONTH|  |
DEBUG [2020-03-19 15:45:14] |YEAR_TO_START|  |
DEBUG [2020-03-19 15:45:14] |check city df ------  | 0 |
DEBUG [2020-03-19 15:45:42] |TEMP_VAL |  |
DEBUG [2020-03-19 15:45:42] |MONTH|  |
DEBUG [2020-03-19 15:45:42] |YEAR_TO_START|  |
DEBUG [2020-03-19 15:45:42] |check city df ------  | 0 |
DEBUG [2020-03-19 15:45:44] |check value------  | min_temp |
DEBUG [2020-03-19 15:45:44] |TEMP_VAL 1| min_temp |
DEBUG [2020-03-19 15:45:46] |MONTH 1| Jan |
DEBUG [2020-03-19 15:45:46] |YEAR_TO_START 1| 1980 |
DEBUG [2020-03-19 15:45:46] Rdata exists
DEBUG [2020-03-19 15:45:46] |TEMP_VAL | min_temp |
DEBUG [2020-03-19 15:45:46] |MONTH| Jan |
DEBUG [2020-03-19 15:45:46] |YEAR_TO_START| 1980 |
DEBUG [2020-03-19 15:45:46] |check city df ------  | 0 |
DEBUG [2020-03-19 15:45:55] |check city df ------  | 1 |
DEBUG [2020-03-19 16:13:23] |TEMP_VAL |  |
DEBUG [2020-03-19 16:13:23] |MONTH|  |
