"","city","df_n","id","prov","intercept","slope","CI_lower","CI_upper","variance","r.squared"
"1","CAPE PARRY",37,"1","NT",-227.094452347079,0.099051683262207,8.05768058209366e-05,0.198022789718593,0.00343133569698387,0.983500285241096
"2","FORT GOOD HOPE",28,"2","NT",-228.947911868674,0.00100259201613258,-0.164152058788677,0.166157242820942,0.00937601116245429,0.983500285241096
"3","FORT MCPHERSON",24,"3","NT",8.34570952050033,-0.117714643651366,-0.314152935312259,0.0787236480095268,0.0130869569694524,0.983500285241096
"4","FORT RELIANCE",32,"4","NT",-7.71288541459635,-0.109864329511217,-0.250339032661001,0.0306103736385676,0.00685013357281033,0.983500285241096
"5","FORT SIMPSON",38,"5","NT",-222.554021227705,8.38895575762407e-05,-0.13706079023077,0.137228569345923,0.00659872249419967,0.983500285241096
"6","FORT SMITH",38,"6","NT",-121.624094539884,-0.0500528868949897,-0.187197566683336,0.0870917928933566,0.00659872249419966,0.983500285241096
"7","HAY RIVER",38,"7","NT",-134.084932705985,-0.0437611700769571,-0.180905849865303,0.0933835097113892,0.00659872249419965,0.983500285241096
"8","INUVIK",38,"8","NT",-427.852861363388,0.100598169019224,-0.036546510769122,0.23774284880757,0.00659872249419965,0.983500285241096
"9","MOULD BAY",34,"13","NT",-80.1972044211868,-0.0775513011115819,-0.219285524273776,0.0641829220506126,0.00704776460944082,0.983500285241096
"10","NORMAN WELLS",38,"9","NT",-143.413229018492,-0.0410146989094333,-0.178489393525062,0.0964599957061954,0.00659872249419965,0.983500285241096
"11","SACHS HARBOUR",35,"12","NT",-206.398645281847,-0.0116354645574812,-0.15147815225967,0.128207223144708,0.00686090584948758,0.983500285241096
"12","TUKTOYAKTUK",35,"10","NT",-72.4160421561062,-0.0778089181787991,-0.216907950589119,0.0612901142315212,0.00675557866514179,0.983500285241096
"13","YELLOWKNIFE",38,"11","NT",-126.904683225736,-0.0487945435313831,-0.186393397129128,0.0888043100663615,0.00659872249419965,0.983500285241096
