"","city","df_n","id","prov","intercept","slope","CI_lower_slope","CI_upper_slope","variance","r.squared"
"1","ATHABASCA",38,"23","AB",217.191055718264,-0.117008797653853,-0.194619154866271,-0.0393984404414353,0.00602336754663912,0.934275881292618
"2","BANFF",35,"21","AB",22.4443046285156,0.100059459651883,0.00198128075153621,0.198137638552231,0.00961932917640852,0.934275881292618
"3","BEAVERLODGE",38,"31","AB",-110.092231097494,0.165438603978396,0.067360425078049,0.263516782878744,0.00961932917640855,0.934275881292618
"4","CALGARY",38,"12","AB",-14.9459897144099,0.119109683965265,0.021031505064918,0.217187862865613,0.00961932917640857,0.934275881292618
"5","CALMAR",27,"1","AB",-75.6018720938788,0.147414627531676,0.0236655317302589,0.271163723333093,0.0153138387116682,0.934275881292618
"6","CAMPSIE",34,"24","AB",-80.1277310924542,0.148865176569064,0.0437722285660136,0.253958124572115,0.0110445277199719,0.934275881292618
"7","CAMROSE",38,"2","AB",-95.8569427727325,0.156805274292435,0.058727095392088,0.254883453192783,0.00961932917640853,0.934275881292618
"8","CARWAY",38,"13","AB",2.4994646346244,0.11085795748191,0.0114795738616074,0.210236341102213,0.0098760631309841,0.934275881292618
"9","COLD LAKE",34,"38","AB",-106.938778859832,0.162177853349225,0.0640996744488774,0.260256032249572,0.00961932917640858,0.934275881292618
"10","CORONATION",32,"3","AB",-134.594564102568,0.175572900217958,0.0774161865375568,0.273729613898358,0.00963474044053617,0.934275881292618
"11","EDMONTON",32,"4","AB",7.75487471276911,0.105639938916574,0.00756176001622619,0.203718117816921,0.00961932917640856,0.934275881292618
"12","EDSON",29,"25","AB",-87.2829614604458,0.153274410977222,0.0551456324510003,0.251403189503444,0.00962925717504832,0.934275881292618
"13","ENTRANCE",37,"30","AB",-152.249294792888,0.187420502163917,0.0859904168626721,0.288850587465161,0.0102880622042177,0.934275881292618
"14","FAIRVIEW",28,"32","AB",-27.8957074961532,0.122930984549526,0.0245147347261564,0.221347234372895,0.00968575822929583,0.934275881292618
"15","FORT CHIPEWYAN",38,"33","AB",-137.536415362731,0.174050049431947,0.0759718705315997,0.272128228332295,0.00961932917640856,0.934275881292618
"16","FORT MCMURRAY",34,"26","AB",-3.68451690556978,0.109524390169446,0.0114462112690984,0.207602569069793,0.00961932917640857,0.934275881292618
"17","FORT VERMILION",37,"34","AB",-59.2034980839137,0.136190530974085,0.0329174369774331,0.239463624970736,0.0106653319436412,0.934275881292618
"18","GLEICHEN",37,"14","AB",-15.8037403365171,0.118441266958083,0.0196508135124937,0.217231720403672,0.00975955369198509,0.934275881292618
"19","GRANDE PRAIRIE",36,"35","AB",-109.636141809826,0.164191202730995,0.0661130238306477,0.262269381631343,0.00961932917640857,0.934275881292618
"20","HIGH PRAIRIE",38,"27","AB",-346.526932403198,0.281624928370859,0.180065679536157,0.383184177205561,0.0103142810238689,0.934275881292618
"21","HIGH RIVER",32,"15","AB",-82.16816206878,0.152573892141628,0.0230538564429877,0.282093927840267,0.0167754396473769,0.934275881292618
"22","JASPER",26,"22","AB",-31.7367436262172,0.126933297052037,0.0288551181516894,0.225011475952384,0.00961932917640855,0.934275881292618
"23","JENNER",29,"9","AB",503.940565691196,-0.141580647674909,-0.337066870731823,0.0539055753820055,0.0382148634050576,0.934275881292618
"24","KEG RIVER",27,"36","AB",-205.190221597771,0.209226993813482,0.0805638609291813,0.337890126697783,0.0165542017636032,0.934275881292618
"25","LACOMBE",38,"10","AB",-38.868672526474,0.12902319809037,0.0308944195641501,0.22715197661659,0.00962925717504792,0.934275881292618
"26","LETHBRIDGE",28,"16","AB",4.88982393004774,0.109897594013488,0.0102330971401167,0.209562090886859,0.00993301193702225,0.934275881292618
"27","MANYBERRIES",36,"20","AB",-58.8190941818514,0.140355555957635,0.0415889759571137,0.239122135958156,0.00975483732499934,0.934275881292618
"28","MEDICINE HAT",31,"17","AB",43.8165444797025,0.0895878544434364,-0.00849032445691109,0.187666033343784,0.00961932917640856,0.934275881292618
"29","OLDS",36,"11","AB",-38.3914883100477,0.129857024806936,0.0316534346663088,0.228060614947563,0.00964394511650825,0.934275881292618
"30","PEACE RIVER",38,"37","AB",-106.729510887405,0.162265390278867,0.0641872113785193,0.260343569179214,0.00961932917640857,0.934275881292618
"31","PINCHER CREEK",38,"18","AB",22.1143451143451,0.101274034550669,0.00319585565032161,0.199352213451017,0.00961932917640857,0.934275881292618
"32","RANFURLY",29,"5","AB",-57.3517452675351,0.137908239605927,0.0398300607055795,0.235986418506274,0.00961932917640857,0.934275881292618
"33","ROCKY MTN HOUSE",37,"6","AB",52.4958755916157,0.0828125057069476,-0.0153162728192744,0.18094128423317,0.00962925717504833,0.934275881292618
"34","SION",24,"7","AB",-124.060307692308,0.172778028423084,0.0361648055078818,0.309391251338286,0.0186631726752787,0.934275881292618
"35","SLAVE LAKE",38,"28","AB",-130.029472558802,0.174185149081246,0.0750660948814906,0.273304203281001,0.00982458690545397,0.934275881292618
"36","STETTLER NORTH",38,"8","AB",-82.6533494753834,0.151283750572874,0.052758194080683,0.249809307065065,0.00970728528209592,0.934275881292618
"37","VAUXHALL",37,"19","AB",-62.7868373911869,0.142418158067625,0.03271524383863,0.25212107229662,0.0120347293903343,0.934275881292618
"38","WHITECOURT",37,"29","AB",-51.7082503556193,0.136425582860112,0.0368314432455948,0.23601972247463,0.00991899264555602,0.934275881292618
