"","city","df_n","id","prov","intercept","slope","CI_lower","CI_upper","variance","r.squared"
"1","AMOS",37,"41","QC",114.047521027853,-0.0677804592398377,-0.154885956249082,0.0193250377694068,0.00261525912113029,0.967737721362283
"2","BAGOTVILLE",38,"29","QC",-62.8074187547868,0.0903102765064969,-0.0325728090098495,0.213193362022843,0.00523037129282408,0.967737721362283
"3","BAIE COMEAU",38,"22","QC",-77.5800087536929,0.0982433107553208,-0.0241503969142727,0.220637018424914,0.00523037129282409,0.967737721362283
"4","BEAUCEVILLE",38,"10","QC",-61.3163146952601,0.0902883922740856,-0.0318115032258574,0.212388287774029,0.00523037129282408,0.967737721362283
"5","BELLETERRE",21,"35","QC",197.647146297397,-0.0425205642399865,-0.267822718884831,0.182781590404858,0.0177233179073826,0.967737721362283
"6","BROME",35,"5","QC",-78.6972549019593,0.0999373219849351,-0.0305270986049177,0.230401742574788,0.00596252944845658,0.967737721362283
"7","CAUSAPSCAL",35,"23","QC",-125.928733722375,0.121539847579385,-0.00298450817215,0.24606420333092,0.00544014583561276,0.967737721362283
"8","CHELSEA",35,"12","QC",-65.8993529475119,0.0936817933528139,-0.0355722675990611,0.222935854304689,0.00583314444742186,0.967737721362283
"9","CHIBOUGAMAU",37,"37","QC",-55.3731152204833,0.0835936408424929,-0.0411180652645354,0.208305346949521,0.0054482973071319,0.967737721362283
"10","DONNACONA",29,"1","QC",-19.2790559151086,0.0701600516595617,-0.0622384067362727,0.202558510055396,0.00614989628671263,0.967737721362283
"11","DRUMMONDVILLE",37,"6","QC",-91.0960560966691,0.106905744322307,-0.0173607383251919,0.231172226969805,0.0054008200093057,0.967737721362283
"12","GASPE",38,"24","QC",-54.6747893642629,0.0873996735958941,-0.0349940340736994,0.209793381265488,0.0052303712928241,0.967737721362283
"13","ILES MADELEINE",35,"25","QC",-220.92864928103,0.173092408534195,0.0454934514843028,0.300691365584087,0.00571210503016982,0.967737721362283
"14","INUKJUAK",36,"43","QC",-88.9401450315163,0.0975964793290085,-0.027075154606444,0.222268113264461,0.00537105770712407,0.967737721362283
"15","JOLIETTE",31,"2","QC",-51.1518952342623,0.0864462545344271,-0.0581302038683567,0.231022712937211,0.00727092983203412,0.967737721362283
"16","KUUJJUAQ",38,"44","QC",-92.2652150125834,0.100234775904681,-0.0221589317649128,0.222628483574274,0.00523037129282409,0.967737721362283
"17","KUUJJUARAPIK",35,"42","QC",-161.041428571429,0.134923316382695,0.00412560298253223,0.265721029782857,0.00596252944845657,0.967737721362283
"18","LA POCATIERE",38,"26","QC",-65.5911478279903,0.0938008115759797,-0.0292271991645592,0.216828822316519,0.0052303712928241,0.967737721362283
"19","LA SARRE",15,"38","QC",612.218724778058,-0.251771598871548,-0.602763703729633,0.099220505986537,0.0387827986748677,0.967737721362283
"20","LA TUQUE",38,"33","QC",194.54403107561,-0.03931003206118,-0.161409927561123,0.0827898634387632,0.00523037129282409,0.967737721362283
"21","LABRIEVILLE",14,"19","QC",1474.92307692304,-0.685406353946957,-1.08185681834387,-0.288955889550044,0.0551416550268658,0.967737721362283
"22","LEBEL QUEVILLON",19,"39","QC",418.51412880677,-0.153695659914754,-0.40129110462717,0.0938997847976626,0.0215073664852958,0.967737721362283
"23","LENNOXVILLE",38,"7","QC",-2.76757850968407,0.0620467903482743,-0.0603469173213192,0.184440498017868,0.00523037129282409,0.967737721362283
"24","LES CEDRES",35,"3","QC",1.83194317439676,0.0603833331784395,-0.063071267981161,0.18383793433804,0.00534707771942826,0.967737721362283
"25","MANIWAKI",38,"13","QC",-64.1950869898241,0.0915576777538985,-0.0308360299156951,0.213951385423492,0.0052303712928241,0.967737721362283
"26","MONT JOLI",38,"27","QC",-87.5607834555206,0.104731985665049,-0.0173679098348947,0.226831881164992,0.0052303712928241,0.967737721362283
"27","MONT LAURIER",30,"14","QC",-14.2725507838522,0.0667451989957351,-0.0684249076188617,0.201915305610332,0.00641007701966464,0.967737721362283
"28","MONTREAL TAVISH",35,"8","QC",59.2761111040221,0.0329992367384688,-0.0926716444063694,0.158670117883307,0.00528217294536492,0.967737721362283
"29","NATASHQUAN",38,"20","QC",-41.1230659809606,0.0794994656956863,-0.042600429804257,0.20159936119563,0.0052303712928241,0.967737721362283
"30","NICOLET",37,"9","QC",47.7133465001257,0.0362946283678635,-0.0860795972644048,0.158668854000132,0.00523759128924133,0.967737721362283
"31","NORMANDIN",36,"30","QC",67.4423744033885,0.0229888438287256,-0.0994706145983361,0.145448302255787,0.00526122171565358,0.967737721362283
"32","PARENT",34,"32","QC",-146.581242091245,0.129895011354391,-0.00128724750179091,0.261077270210573,0.00599764067566629,0.967737721362283
"33","QUAQTAQ",5,"45","QC",225.631443299024,-0.0585082005540045,-0.99941976289293,0.882403361784921,0.310598637176667,0.967737721362283
