"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1888" "NA" "NA" "NA" "NA" "NA" "NA" "35.1" "75.8" "21.0" "79.2" "NA" "64.7" "NA" "NA" "NA" "NA" "NA" NA
"1889" "114.7" "75.2" "NA" "132.8" "105.9" "124.4" "37.8" "NA" "55.4" "NA" "NA" "NA" "NA" "254.6" "NA" "NA" "NA" NA
"1890" "NA" "83.0" "42.5" "86.1" "95.3" "100.0" "69.6" "111.8" "80.5" "163.8" "102.4" "57.8" "NA" "NA" "223.9" "281.5" "346.6" NA
"1891" "75.4" "141.3" "71.8" "83.0" "19.5" "32.9" "89.5" "40.4" "20.8" "30.9" "75.5" "86.5" "767.4" "274.5" "174.3" "162.8" "127.2" NA
"1892" "59.6" "NA" "46.5" "72.2" "323.1" "138.4" "96.7" "84.2" "115.2" "16.0" "115.8" "70.2" "NA" "NA" "441.8" "319.2" "247.0" NA
"1893" "104.1" "76.5" "77.4" "77.4" "97.5" "87.2" "68.3" "NA" "13.4" "36.5" "126.4" "71.1" "NA" "250.8" "252.3" "NA" "176.3" NA
"1894" "42.7" "84.1" "39.1" "86.1" "128.7" "67.0" "23.6" "NA" "53.8" "64.0" "56.2" "106.8" "NA" "197.9" "253.9" "NA" "174.0" NA
"1895" "89.0" "160.0" "56.4" "59.4" "41.8" "66.8" "33.5" "58.9" "46.9" "55.4" "80.2" "38.2" "786.6" "355.7" "157.7" "159.2" "182.5" NA
"1896" "56.7" "69.6" "106.4" "80.2" "50.4" "80.0" "171.9" "46.7" "60.1" "46.9" "20.6" "69.0" "858.5" "164.6" "237.0" "298.6" "127.7" NA
"1897" "112.7" "25.0" "68.3" "93.4" "74.6" "132.7" "172.3" "110.8" "73.3" "14.2" "109.5" "45.0" "1031.8" "206.7" "236.3" "415.8" "197.0" NA
"1898" "141.2" "142.3" "285.7" "135.9" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "328.5" "NA" "NA" "NA" NA
"1899" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "62.9" "54.9" "32.6" "NA" "NA" "NA" "NA" "NA" NA
"1900" "NA" "99.1" "6.6" "40.4" "45.6" "86.4" "110.2" "124.6" "34.3" "69.0" "88.5" "NA" "NA" "NA" "92.6" "321.2" "191.8" NA
"1901" "34.1" "39.8" "52.3" "49.3" "92.1" "9.6" "117.8" "18.7" "28.2" "49.4" "37.7" "NA" "NA" "NA" "193.7" "146.1" "115.4" NA
"1902" "NA" "NA" "90.7" "43.0" "162.9" "152.8" "89.8" "52.1" "271.4" "32.2" "82.8" "51.4" "NA" "NA" "296.6" "294.7" "386.4" NA
"1903" "42.8" "NA" "62.0" "84.7" "50.4" "114.5" "53.0" "69.0" "70.6" "31.6" "8.9" "8.3" "NA" "NA" "197.1" "236.5" "111.1" NA
"1904" "78.3" "24.5" "105.8" "51.9" "27.3" "39.3" "106.6" "4.5" "105.1" "88.1" "NA" "3.2" "NA" "111.1" "185.0" "150.4" "NA" NA
"1905" "45.2" "16.5" "13.1" "29.4" "59.1" "147.1" "34.5" "25.6" "21.6" "38.8" "NA" "35.8" "NA" "65.0" "101.6" "207.2" "NA" NA
"1906" "NA" "9.9" "21.5" "24.1" "68.6" "50.2" "91.7" "21.3" "25.5" "63.0" "16.5" "39.6" "NA" "NA" "114.3" "163.2" "105.0" NA
"1907" "45.5" "16.5" "32.6" "25.1" "21.6" "93.0" "57.1" "40.2" "123.3" "71.5" "46.4" "109.7" "682.5" "101.6" "79.2" "190.3" "241.3" NA
"1908" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "0.0" "19.5" "16.2" "14.0" "NA" "NA" "NA" "NA" "35.7" NA
"1909" "54.5" "108.3" "71.2" "111.9" "110.1" "73.7" "NA" "NA" "27.3" "59.7" "63.3" "75.5" "NA" "176.8" "293.2" "NA" "150.3" NA
"1910" "69.6" "38.3" "3.6" "89.6" "59.1" "58.4" "144.1" "185.7" "251.7" "177.8" "106.4" "122.6" "1306.8" "183.4" "152.4" "388.1" "535.9" NA
"1911" "NA" "31.5" "116.8" "196.0" "159.1" "291.2" "16.5" "203.2" "82.0" "115.8" "105.8" "43.6" "NA" "NA" "472.0" "510.9" "303.6" NA
"1912" "111.8" "NA" "57.9" "60.4" "53.6" "84.0" "141.1" "96.8" "70.8" "73.6" "54.7" "15.1" "NA" "NA" "171.8" "321.8" "199.1" NA
"1913" "42.9" "46.5" "19.3" "54.2" "90.6" "87.6" "57.6" "17.4" "37.7" "75.0" "29.8" "11.3" "569.9" "104.5" "164.1" "162.6" "142.5" NA
"1914" "39.4" "26.8" "35.1" "90.8" "43.6" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "77.5" "169.5" "NA" "NA" NA
"1915" "NA" "NA" "NA" "NA" "NA" "40.1" "54.9" "NA" "65.8" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1916" "NA" "NA" "110.5" "32.7" "153.0" "110.4" "7.5" "28.5" "20.1" "40.8" "33.8" "69.9" "NA" "NA" "296.3" "146.4" "94.7" NA
"1917" "85.6" "29.6" "78.0" "81.2" "93.0" "147.5" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "185.1" "252.2" "NA" "NA" NA
"1918" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1919" "NA" "NA" "NA" "108.5" "103.2" "34.7" "35.5" "179.3" "60.4" "98.5" "40.6" "7.9" "NA" "NA" "NA" "249.5" "199.5" NA
