"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1947" "NA" "NA" "NA" "NA" "NA" "NA" "109.3" "28.1" "81.0" "29.7" "120.2" "53.6" "NA" "NA" "NA" "NA" "230.9" NA
"1948" "79.2" "53.2" "38.2" "69.9" "127.4" "37.8" "77.4" "89.8" "105.5" "93.2" "113.8" "71.6" "957.0" "186.0" "235.5" "205.0" "312.4" NA
"1949" "81.6" "34.3" "51.0" "67.9" "226.6" "183.8" "38.6" "206.9" "139.8" "123.4" "97.4" "53.9" "1305.4" "187.6" "345.6" "429.3" "360.6" NA
"1950" "127.5" "52.0" "51.0" "156.6" "52.7" "192.1" "97.7" "83.4" "62.0" "99.1" "258.2" "183.7" "1415.9" "233.4" "260.3" "373.2" "419.3" NA
"1951" "158.8" "93.8" "63.5" "104.7" "25.0" "26.3" "115.0" "46.2" "76.5" "61.8" "103.2" "NA" "NA" "436.3" "193.2" "187.5" "241.6" NA
"1952" "95.6" "NA" "80.4" "41.2" "65.1" "128.1" "87.1" "151.6" "63.5" "152.2" "27.3" "NA" "NA" "NA" "186.8" "366.8" "243.0" NA
"1953" "149.2" "80.3" "91.7" "88.3" "26.8" "56.0" "112.4" "20.2" "106.8" "52.2" "46.6" "124.7" "955.3" "NA" "206.8" "188.6" "205.7" NA
"1954" "113.2" "NA" "NA" "NA" "NA" "NA" "NA" "159.8" "121.3" "82.9" "69.0" "157.3" "NA" "NA" "NA" "NA" "273.2" NA
"1955" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1956" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1957" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
