" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1898" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    21.2" "    14.1" "     8.9" "     6.6" " NA" " NA" " NA" " NA" "    14.7"
"1899" "     6.2" "     5.5" "     9.4" "    12.9" "    14.7" "    19.5" "    25.1" "    20.8" "    21.6" "    13.4" "    12.8" "     8.4" "    14.2" "     6.1" "    12.3" "    21.8" "    15.9"
"1900" "     8.4" "     7.5" "    12.6" "    15.5" "    16.5" "    19.7" "    21.4" "    20.8" "    18.6" "    13.6" "     9.5" "     9.1" "    14.4" "     8.1" "    14.9" "    20.6" "    13.9"
"1901" "     6.1" "     7.8" "    10.2" "    11.5" "    16.0" "    17.3" "    19.4" "    22.8" "    18.6" "    17.1" "    11.6" "     7.9" "    13.9" "     7.7" "    12.6" "    19.8" "    15.8"
"1902" "     6.6" "     9.4" "     9.2" "    12.8" "    17.0" "    19.3" "    21.6" "    22.2" "    19.2" "    15.4" "     9.1" "     7.2" "    14.1" "     8.0" "    13.0" "    21.0" "    14.6"
"1903" "     7.3" "     7.0" "     8.5" "    12.1" "    15.5" "    20.8" "    19.6" "    20.8" "    17.8" "    14.8" "     9.1" "     7.9" "    13.4" "     7.2" "    12.0" "    20.4" "    13.9"
"1904" "     7.2" "     6.1" "     7.4" "    15.1" "    16.6" "    18.7" "    22.2" "    20.9" "    20.3" "    15.1" "    12.0" "     8.6" "    14.2" "     7.1" "    13.0" "    20.6" "    15.8"
"1905" "     7.0" "     8.0" "    12.3" "    15.2" "    16.3" "    18.7" "    22.3" "    20.5" "    17.7" "    12.1" "     9.8" "     8.0" "    14.0" "     7.9" "    14.6" "    20.5" "    13.2"
"1906" "     7.1" "    10.0" "    11.3" "    16.6" "    18.3" "    21.3" "    26.7" "    24.5" "    18.8" "    14.9" "     9.3" "     7.3" "    15.5" "     8.4" "    15.4" "    24.2" "    14.3"
"1907" "     2.6" "     7.9" "    10.1" "    14.8" "    20.0" "    22.2" "    24.9" "    22.8" "    20.6" "    15.3" "    11.5" "     7.9" "    15.1" "     5.9" "    15.0" "    23.3" "    15.8"
"1908" "     7.0" "     7.9" "    10.2" "    14.0" "    16.9" "    21.7" "    24.7" "    23.3" "    19.3" "    13.9" "    11.2" "     6.1" "    14.7" "     7.6" "    13.7" "    23.2" "    14.8"
"1909" "     2.3" "     7.8" "    10.6" "    13.7" "    17.2" "    21.5" "    21.7" "    22.4" "    20.3" "    14.6" "     9.3" "     4.4" "    13.8" "     5.4" "    13.8" "    21.9" "    14.7"
"1910" "     5.7" "     5.0" "    11.9" "    13.6" "    19.5" "    20.1" "    23.9" "    22.1" "    19.9" "    14.2" "     9.2" "     7.7" "    14.4" "     5.0" "    15.0" "    22.0" "    14.4"
"1911" "     4.3" "     6.7" "    11.5" "    13.4" "    16.9" "    20.0" "    24.9" "    22.5" "    18.2" "    15.1" "     8.8" "     7.2" "    14.1" "     6.2" "    13.9" "    22.5" "    14.0"
"1912" "     6.9" "     9.2" "    10.7" "    14.1" "    19.8" "    22.2" "    23.9" "    22.0" "    21.1" "    13.6" "    10.1" "     7.2" "    15.1" "     7.8" "    14.9" "    22.7" "    14.9"
